#,P:win,P:lose,P:coffee,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,1.8,0.4,0.5,51780.00,37723.95,40.07,180.42,287,-16680.00,8.17,0.0042,2.26,0.8169,1045.21,5,-9016.00,4.18,0.03,0.17,0.0086,2.11,178450.00,-126670.00,115,172,8,12,4890.00,-2010.00,1551.74,-736.45,133,44,1.41
2,1.7,0.4,0.5,51130.00,37250.40,40.77,178.15,287,-14680.00,8.11,0.0044,2.54,0.8443,1376.86,5,-8616.00,4.32,0.03,0.15,0.0086,2.04,177180.00,-126050.00,117,170,8,12,3590.00,-2010.00,1514.36,-741.47,129,43,1.41
3,1.8,0.8,0.5,48230.00,35137.62,48.78,168.05,287,-18480.00,5.38,0.0038,1.90,0.7883,766.31,5,-10152.00,3.46,0.04,0.18,0.0064,1.38,201850.00,-153620.00,140,147,13,6,4890.00,-2060.00,1441.79,-1045.03,139,92,1.31
4,1.8,0.3,0.7,48180.00,35101.20,36.32,227.26,212,-10500.00,11.40,0.0037,3.34,0.8619,2563.04,5,-5702.00,6.16,0.03,0.10,0.0094,2.83,126880.00,-78700.00,77,135,6,10,4690.00,-2010.00,1647.79,-582.96,106,36,1.61
5,1.8,0.5,0.7,47630.00,34700.50,43.87,224.67,212,-10700.00,8.75,0.0036,3.24,0.8861,2509.76,5,-6400.00,5.42,0.04,0.11,0.0080,1.92,142570.00,-94940.00,93,119,6,7,4690.00,-2010.00,1533.01,-797.82,118,58,1.50
6,1.6,0.4,0.5,47530.00,34627.64,40.77,165.61,287,-14880.00,7.16,0.0040,2.33,0.8290,1223.11,5,-8656.00,4.00,0.03,0.15,0.0081,2.00,173580.00,-126050.00,117,170,8,12,3540.00,-2010.00,1483.59,-741.47,125,43,1.38
7,1.8,0.6,0.7,47330.00,34481.94,46.23,223.25,212,-10100.00,8.02,0.0036,3.41,0.8907,2813.93,5,-6644.00,5.19,0.04,0.10,0.0078,1.71,147270.00,-99940.00,98,114,6,7,4690.00,-2010.00,1502.76,-876.67,118,67,1.47
8,1.7,0.8,0.5,46930.00,34190.52,49.48,163.52,287,-16840.00,5.14,0.0038,2.03,0.8072,919.26,5,-9824.00,3.48,0.04,0.17,0.0063,1.33,200430.00,-153500.00,142,145,13,6,3590.00,-2060.00,1411.48,-1058.62,135,90,1.31
9,1.8,0.5,0.5,46680.00,34008.38,42.16,162.65,287,-18700.00,5.94,0.0036,1.82,0.8020,736.30,5,-9314.00,3.65,0.04,0.19,0.0071,1.83,185290.00,-138610.00,121,166,8,12,4890.00,-2010.00,1531.32,-835.00,136,55,1.34
10,1.8,0.7,0.5,46530.00,33899.10,47.39,162.13,287,-15320.00,5.21,0.0038,2.21,0.8290,1130.52,5,-9852.00,3.44,0.04,0.15,0.0066,1.45,197340.00,-150810.00,136,151,13,6,4890.00,-2060.00,1451.03,-998.74,137,79,1.31
11,1.8,0.7,0.4,46340.00,33760.68,45.89,146.65,316,-13840.00,4.33,0.0032,2.44,0.7739,1292.00,5,-9366.00,3.60,0.04,0.14,0.0059,1.49,221700.00,-175360.00,145,171,7,8,4040.00,-2110.00,1528.97,-1025.50,151,81,1.26
12,1.7,0.5,0.5,46280.00,33716.97,42.86,161.25,287,-16300.00,5.95,0.0037,2.07,0.8358,1001.07,5,-8834.00,3.82,0.03,0.16,0.0072,1.78,183870.00,-137590.00,123,164,8,12,3590.00,-2010.00,1494.88,-838.96,132,54,1.34
13,1.4,0.4,0.5,45780.00,33352.69,41.11,159.51,287,-14470.00,6.73,0.0039,2.30,0.8624,1295.87,5,-8536.00,3.91,0.03,0.14,0.0080,1.95,171720.00,-125940.00,118,169,8,12,3240.00,-2010.00,1455.25,-745.21,116,42,1.36
14,1.8,0.6,0.5,45480.00,33134.13,45.64,158.47,287,-21120.00,5.33,0.0036,1.57,0.7566,530.51,5,-10536.00,3.14,0.04,0.21,0.0067,1.56,190540.00,-145060.00,131,156,13,12,4890.00,-2010.00,1454.50,-929.87,137,68,1.31
15,1.7,0.7,0.5,45230.00,32952.00,48.08,157.60,287,-14060.00,4.96,0.0039,2.34,0.8468,1332.41,5,-9600.00,3.43,0.03,0.14,0.0065,1.40,195920.00,-150690.00,138,149,13,6,3590.00,-2060.00,1419.71,-1011.34,134,77,1.30
16,1.7,0.6,0.5,45080.00,32842.71,46.34,157.07,287,-18960.00,5.32,0.0037,1.73,0.7944,684.96,5,-10104.00,3.25,0.03,0.19,0.0068,1.52,189120.00,-144040.00,133,154,13,12,3590.00,-2010.00,1421.95,-935.32,133,67,1.31
17,1.7,0.3,0.7,44430.00,32369.16,36.79,209.58,212,-9900.00,10.18,0.0033,3.27,0.8892,2742.98,5,-5582.00,5.80,0.02,0.10,0.0087,2.70,122470.00,-78040.00,78,134,6,10,4690.00,-2010.00,1570.13,-582.39,103,36,1.57
18,1.7,0.5,0.7,44080.00,32114.17,44.34,207.92,212,-8050.00,7.82,0.0032,3.99,0.9132,4228.33,5,-5870.00,5.47,0.03,0.08,0.0074,1.84,138160.00,-94080.00,94,118,6,7,4690.00,-2010.00,1469.79,-797.29,115,57,1.47
19,1.8,0.6,0.4,43690.00,31830.04,43.35,138.26,316,-12050.00,4.07,0.0034,2.64,0.7960,1652.04,5,-9436.00,3.37,0.04,0.12,0.0059,1.64,213980.00,-170290.00,137,179,7,8,3940.00,-2110.00,1561.90,-951.34,149,72,1.26
20,1.7,0.6,0.7,43630.00,31786.33,46.70,205.80,212,-7350.00,7.12,0.0032,4.32,0.9151,5030.74,5,-6328.00,5.02,0.03,0.07,0.0071,1.64,142560.00,-98930.00,99,113,6,7,4690.00,-2010.00,1440.00,-875.49,116,67,1.44
21,1.6,0.8,0.5,43330.00,31567.76,49.48,150.98,287,-17180.00,4.46,0.0035,1.84,0.7808,788.80,5,-9972.00,3.17,0.04,0.17,0.0058,1.31,196830.00,-153500.00,142,145,13,6,3540.00,-2060.00,1386.13,-1058.62,132,90,1.28
22,1.8,0.7,0.7,43280.00,31531.34,47.64,204.15,212,-12020.00,6.21,0.0031,2.62,0.8275,1687.92,5,-7670.00,4.11,0.04,0.12,0.0067,1.55,149740.00,-106460.00,101,111,6,7,4690.00,-2010.00,1482.57,-959.10,120,78,1.41
23,1.6,0.3,0.7,43230.00,31494.91,36.79,203.92,212,-9900.00,9.74,0.0032,3.18,0.8834,2651.14,5,-5568.00,5.66,0.02,0.10,0.0086,2.67,121270.00,-78040.00,78,134,6,10,3340.00,-2010.00,1554.74,-582.39,102,36,1.55
24,1.5,0.4,0.5,43130.00,31422.06,40.77,150.28,287,-15980.00,6.05,0.0037,1.97,0.8169,948.09,5,-8876.00,3.54,0.03,0.16,0.0074,1.95,169180.00,-126050.00,117,170,8,12,3340.00,-2010.00,1445.98,-741.47,123,43,1.34
25,1.6,0.5,0.7,42880.00,31239.92,44.34,202.26,212,-8050.00,7.47,0.0031,3.88,0.9112,4103.58,5,-5566.00,5.61,0.03,0.08,0.0073,1.83,136960.00,-94080.00,94,118,6,7,3340.00,-2010.00,1457.02,-797.29,114,57,1.46
26,1.6,0.5,0.5,42680.00,31094.21,42.86,148.71,287,-16500.00,5.16,0.0034,1.88,0.8143,877.61,5,-8954.00,3.47,0.03,0.16,0.0066,1.75,180270.00,-137590.00,123,164,8,12,3540.00,-2010.00,1465.61,-838.96,128,54,1.31
27,1.6,0.6,0.7,42430.00,30912.08,46.70,200.14,212,-7350.00,6.79,0.0031,4.21,0.9139,4885.34,5,-5918.00,5.22,0.03,0.07,0.0070,1.63,141360.00,-98930.00,99,113,6,7,3340.00,-2010.00,1427.88,-875.49,115,67,1.43
28,1.8,0.8,0.7,42380.00,30875.65,49.06,199.91,212,-13670.00,5.78,0.0029,2.26,0.7941,1226.66,5,-7934.00,3.89,0.04,0.14,0.0063,1.44,151260.00,-108880.00,104,108,6,7,4690.00,-2010.00,1454.42,-1008.15,122,83,1.39
29,1.7,0.7,0.4,42240.00,30773.65,46.20,133.67,316,-13990.00,3.67,0.0028,2.20,0.7683,1144.04,5,-9396.00,3.28,0.04,0.14,0.0054,1.44,217590.00,-175350.00,146,170,7,8,4040.00,-2110.00,1490.34,-1031.47,148,81,1.24
30,1.4,0.5,0.7,42030.00,30620.66,44.81,198.25,212,-7350.00,7.32,0.0033,4.17,0.9156,4847.49,5,-5524.00,5.54,0.03,0.07,0.0075,1.79,135450.00,-93420.00,95,117,6,7,3040.00,-2010.00,1425.79,-798.46,100,57,1.45
31,1.4,0.7,0.4,41840.00,30482.24,47.15,132.41,316,-10380.00,3.72,0.0030,2.94,0.8408,2252.92,5,-8778.00,3.47,0.03,0.10,0.0056,1.39,214660.00,-172820.00,149,167,7,8,3540.00,-2110.00,1440.67,-1034.85,132,79,1.24
32,1.6,0.7,0.5,41630.00,30329.24,48.08,145.05,287,-14260.00,4.28,0.0035,2.13,0.8274,1164.74,5,-9720.00,3.12,0.03,0.14,0.0060,1.38,192320.00,-150690.00,138,149,13,6,3540.00,-2060.00,1393.62,-1011.34,130,77,1.28
33,1.4,0.3,0.7,41580.00,30292.81,37.26,196.13,212,-9900.00,9.29,0.0032,3.06,0.8745,2523.81,5,-5588.00,5.42,0.02,0.10,0.0087,2.59,119060.00,-77480.00,79,133,6,10,3040.00,-2010.00,1507.09,-582.56,89,36,1.54
34,1.6,0.6,0.5,41480.00,30219.96,46.34,144.53,287,-19160.00,4.60,0.0034,1.58,0.7685,596.96,5,-10224.00,2.96,0.03,0.19,0.0062,1.49,185520.00,-144040.00,133,154,13,12,3540.00,-2010.00,1394.89,-935.32,129,67,1.29
35,1.5,0.5,0.7,41380.00,30147.11,44.34,195.19,212,-7350.00,7.03,0.0031,4.10,0.9152,4770.51,5,-5434.00,5.55,0.03,0.07,0.0072,1.81,135460.00,-94080.00,94,118,6,7,3290.00,-2010.00,1441.06,-797.29,108,57,1.44
36,1.5,0.3,0.7,41230.00,30037.82,36.79,194.48,212,-9900.00,9.00,0.0030,3.03,0.8805,2519.89,5,-5572.00,5.39,0.02,0.10,0.0084,2.63,119270.00,-78040.00,78,134,6,10,3290.00,-2010.00,1529.10,-582.39,97,36,1.53
37,1.3,0.4,0.5,41130.00,29964.97,41.46,143.31,287,-15420.00,5.65,0.0035,1.94,0.8261,981.95,5,-8632.00,3.47,0.03,0.15,0.0074,1.88,166460.00,-125330.00,119,168,8,12,3240.00,-2010.00,1398.82,-746.01,110,42,1.33
38,1.4,0.6,0.7,41030.00,29892.12,47.17,193.54,212,-6650.00,6.48,0.0032,4.50,0.9222,5822.39,5,-5912.00,5.06,0.03,0.07,0.0071,1.59,139450.00,-98420.00,100,112,6,7,3040.00,-2010.00,1394.50,-878.75,102,66,1.42
39,1.5,0.6,0.7,40930.00,29819.26,46.70,193.07,212,-6650.00,6.39,0.0030,4.48,0.9155,5766.78,5,-5892.00,5.06,0.03,0.07,0.0069,1.61,139860.00,-98930.00,99,113,6,7,3290.00,-2010.00,1412.73,-875.49,109,67,1.41
40,1.4,0.5,0.5,40630.00,29600.70,43.21,141.57,287,-16420.00,4.75,0.0033,1.80,0.8421,872.46,5,-8754.00,3.38,0.03,0.16,0.0065,1.70,178110.00,-137480.00,124,163,8,12,3240.00,-2010.00,1436.37,-843.44,118,53,1.30
41,1.4,0.8,0.5,40630.00,29600.70,49.83,141.57,287,-16680.00,3.98,0.0034,1.77,0.7910,794.77,5,-9874.00,3.00,0.04,0.17,0.0056,1.27,194020.00,-153390.00,143,144,13,6,3240.00,-2060.00,1356.78,-1065.21,124,89,1.26
42,1.4,0.6,0.4,40340.00,29389.42,44.62,127.66,316,-10190.00,3.64,0.0033,2.88,0.8676,2318.98,5,-8908.00,3.30,0.03,0.10,0.0057,1.54,208090.00,-167750.00,141,175,7,8,3540.00,-2110.00,1475.82,-958.57,129,69,1.24
43,1.8,0.5,0.4,40190.00,29280.14,39.56,127.18,316,-12990.00,3.69,0.0039,2.25,0.8849,1449.78,5,-9592.00,3.05,0.04,0.13,0.0060,1.91,202950.00,-162760.00,125,191,7,11,3940.00,-1610.00,1623.60,-852.15,145,61,1.25
