#,P:win,P:lose,P:coffee,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,1.6,0.2,0.3,95440.00,69532.14,24.92,143.30,666,-10070.00,17.38,0.0092,6.90,0.9679,6417.43,5,-8494.00,8.19,0.05,0.10,0.0135,4.37,307740.00,-212300.00,166,500,4,19,4190.00,-1560.00,1853.86,-424.60,134,28,1.45
2,1.5,0.2,0.3,91940.00,66982.24,25.08,138.05,666,-8760.00,16.40,0.0090,7.65,0.9711,8150.71,5,-7994.00,8.38,0.05,0.09,0.0133,4.28,304030.00,-212090.00,167,499,4,19,4190.00,-1560.00,1820.54,-425.03,126,27,1.43
3,2,0.2,0.3,91240.00,66472.26,24.17,137.00,666,-10070.00,15.44,0.0088,6.60,0.9700,6144.86,5,-8502.00,7.82,0.05,0.10,0.0121,4.47,306240.00,-215000.00,161,505,4,19,4440.00,-1560.00,1902.11,-425.74,155,29,1.42
4,2,0.2,0.2,89370.00,65109.88,23.60,121.92,733,-13300.00,12.85,0.0086,4.90,0.9626,3445.00,5,-9536.00,6.83,0.05,0.13,0.0114,4.42,334720.00,-245350.00,173,560,4,20,4540.00,-2410.00,1934.80,-438.13,160,29,1.36
5,1.6,0.3,0.3,89200.00,64986.03,31.11,165.19,540,-8610.00,14.22,0.0085,7.55,0.9640,8129.51,5,-7696.00,8.44,0.04,0.09,0.0125,3.14,302920.00,-213720.00,168,372,5,11,4190.00,-1560.00,1803.10,-574.52,138,41,1.42
6,2,0.4,0.2,88990.00,64833.03,36.17,175.87,506,-10770.00,11.99,0.0080,6.02,0.9263,4994.31,5,-9282.00,6.98,0.06,0.11,0.0110,2.43,325820.00,-236830.00,183,323,7,11,4540.00,-2760.00,1780.44,-733.22,165,56,1.38
7,1.6,0.4,0.2,88490.00,64468.76,37.15,174.88,506,-11740.00,12.30,0.0078,5.49,0.9244,4152.99,5,-9402.00,6.86,0.06,0.12,0.0116,2.33,322020.00,-233530.00,188,318,7,11,4190.00,-2760.00,1712.87,-734.37,149,54,1.38
8,1.9,0.2,0.3,88490.00,64468.76,24.17,132.87,666,-10070.00,14.65,0.0088,6.40,0.9715,5969.15,5,-8642.00,7.46,0.05,0.10,0.0119,4.43,303490.00,-215000.00,161,505,4,19,4190.00,-1560.00,1885.03,-425.74,151,29,1.41
9,2,0.3,0.2,88290.00,64323.05,30.29,149.39,591,-13590.00,12.18,0.0079,4.73,0.9420,3176.27,5,-8962.00,7.18,0.04,0.13,0.0108,3.14,330160.00,-241870.00,179,412,7,12,4540.00,-2560.00,1844.47,-587.06,164,41,1.37
10,1.6,0.2,0.2,88220.00,64272.06,24.28,120.35,733,-11750.00,13.06,0.0084,5.47,0.9551,4321.53,5,-9230.00,6.96,0.05,0.12,0.0118,4.25,330870.00,-242650.00,178,555,4,20,4190.00,-2410.00,1858.82,-437.21,142,28,1.36
11,1.8,0.2,0.3,87540.00,63776.65,24.32,131.44,666,-10070.00,14.48,0.0087,6.33,0.9678,5884.96,5,-8692.00,7.34,0.05,0.10,0.0118,4.38,302180.00,-214640.00,162,504,4,19,4190.00,-1560.00,1865.31,-425.87,146,29,1.41
12,1.7,0.2,0.3,86840.00,63266.67,24.47,130.39,666,-10070.00,14.45,0.0087,6.28,0.9660,5827.22,5,-8692.00,7.28,0.05,0.10,0.0118,4.34,300620.00,-213780.00,163,503,4,19,4190.00,-1560.00,1844.29,-425.01,142,29,1.41
