#,P:win,P:lose,P:coffee,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,2,0.4,0.2,76030.00,55391.12,36.65,236.12,322,-10030.00,12.54,0.0067,5.52,0.9024,4711.10,5,-8246.00,6.72,0.04,0.10,0.0118,2.60,227470.00,-151440.00,118,204,6,9,4540.00,-2760.00,1927.71,-742.35,168,58,1.50
2,1.9,0.4,0.2,71680.00,52221.96,36.65,222.61,322,-10030.00,11.37,0.0063,5.21,0.9014,4435.57,5,-8386.00,6.23,0.04,0.10,0.0112,2.55,223120.00,-151440.00,118,204,6,9,4190.00,-2760.00,1890.85,-742.35,166,58,1.47
3,2,0.5,0.2,70580.00,51420.56,40.99,219.19,322,-12280.00,9.41,0.0066,4.19,0.8863,2864.47,5,-9196.00,5.59,0.04,0.12,0.0104,2.03,241380.00,-170800.00,132,190,6,9,4540.00,-2760.00,1828.64,-898.95,172,71,1.41
4,1.8,0.4,0.2,70480.00,51347.70,36.96,218.88,322,-10030.00,11.18,0.0062,5.12,0.9237,4470.20,5,-8234.00,6.24,0.03,0.10,0.0110,2.50,221160.00,-150680.00,119,203,6,9,3990.00,-2760.00,1858.49,-742.27,160,58,1.47
5,1.6,0.4,0.2,68780.00,50109.18,37.27,213.60,322,-10030.00,10.84,0.0057,5.00,0.9112,4301.79,5,-7754.00,6.46,0.03,0.10,0.0111,2.45,218850.00,-150070.00,120,202,6,9,3990.00,-2760.00,1823.75,-742.92,152,57,1.46
96,1.3,0.4,0.2,52280.00,38088.22,37.89,162.36,322,-10350.00,6.89,0.0041,3.68,0.8560,2881.35,5,-7768.00,4.90,0.03,0.10,0.0089,2.21,201530.00,-149250.00,122,200,6,9,2990.00,-2760.00,1651.89,-746.25,131,56,1.35
17,1.5,0.4,0.2,64380.00,46903.59,37.58,199.94,322,-9730.00,9.75,0.0053,4.82,0.9248,4341.84,5,-7394.00,6.34,0.03,0.10,0.0105,2.37,214240.00,-149860.00,121,201,6,9,3440.00,-2760.00,1770.58,-745.57,147,56,1.43
8,2,0.3,0.2,66030.00,48105.69,31.37,205.06,322,-11120.00,11.69,0.0055,4.33,0.8500,3134.21,5,-7604.00,6.33,0.03,0.11,0.0111,3.29,197190.00,-131160.00,101,221,6,12,4540.00,-1560.00,1952.38,-593.48,166,41,1.50
9,1.8,0.5,0.2,65830.00,47959.98,41.30,204.44,322,-12280.00,8.44,0.0062,3.91,0.9050,2728.25,5,-9204.00,5.21,0.03,0.12,0.0098,1.97,235770.00,-169940.00,133,189,6,9,3990.00,-2760.00,1772.71,-899.15,164,70,1.39
10,1.9,0.5,0.2,65780.00,47923.55,40.99,204.29,322,-12280.00,8.34,0.0061,3.90,0.8812,2653.63,5,-9356.00,5.12,0.04,0.12,0.0098,1.99,236580.00,-170800.00,132,190,6,9,4190.00,-2760.00,1792.27,-898.95,170,71,1.39
44,1.6,0.3,0.2,59680.00,43479.44,31.99,185.34,322,-12110.00,10.11,0.0047,3.59,0.8664,2434.54,5,-7388.00,5.89,0.03,0.12,0.0104,3.10,189770.00,-130090.00,103,219,6,11,3990.00,-1560.00,1842.43,-594.02,152,40,1.46
40,1.7,0.5,0.2,60630.00,44171.56,41.30,188.29,322,-12280.00,7.32,0.0057,3.60,0.8991,2495.42,5,-9324.00,4.74,0.03,0.12,0.0091,1.93,230570.00,-169940.00,133,189,6,9,3990.00,-2760.00,1733.61,-899.15,162,70,1.36
13,1.7,0.4,0.2,65380.00,47632.14,36.96,203.04,322,-10030.00,9.85,0.0058,4.75,0.9201,4129.64,5,-8018.00,5.94,0.03,0.10,0.0103,2.45,216060.00,-150680.00,119,203,6,9,3990.00,-2760.00,1815.63,-742.27,158,58,1.43
47,1.5,0.5,0.2,59280.00,43188.02,41.93,184.10,322,-11980.00,7.15,0.0052,3.61,0.8955,2552.55,5,-8762.00,4.93,0.03,0.12,0.0092,1.87,228100.00,-168820.00,135,187,6,9,3440.00,-2760.00,1689.63,-902.78,152,69,1.35
31,1.8,0.3,0.2,61480.00,44790.82,31.68,190.93,322,-11420.00,10.50,0.0051,3.92,0.8838,2877.56,5,-7804.00,5.74,0.03,0.11,0.0104,3.17,192080.00,-130600.00,102,220,6,12,3990.00,-1560.00,1883.14,-593.64,159,40,1.47
55,1.4,0.4,0.2,56830.00,41403.09,37.58,176.49,322,-9930.00,7.88,0.0045,4.17,0.8976,3569.85,5,-7804.00,5.31,0.03,0.10,0.0094,2.29,206690.00,-149860.00,121,201,6,9,3440.00,-2760.00,1708.18,-745.57,140,56,1.38
58,1.5,0.3,0.2,56130.00,40893.11,32.30,174.32,322,-10460.00,9.18,0.0044,3.91,0.8822,3124.13,5,-7058.00,5.79,0.02,0.10,0.0099,3.00,186010.00,-129880.00,104,218,6,11,3440.00,-1560.00,1788.56,-595.78,146,39,1.43
56,1.7,0.3,0.2,56730.00,41330.24,31.68,176.18,322,-11610.00,9.17,0.0048,3.56,0.8763,2546.67,5,-7842.00,5.27,0.03,0.12,0.0096,3.09,187330.00,-130600.00,102,220,6,12,3990.00,-1560.00,1836.57,-593.64,157,40,1.43
70,1.4,0.5,0.2,54530.00,39727.45,42.24,169.35,322,-12180.00,6.26,0.0048,3.26,0.8521,2160.35,5,-8940.00,4.44,0.03,0.12,0.0087,1.81,222390.00,-167860.00,136,186,6,9,3440.00,-2760.00,1635.22,-902.47,145,69,1.32
20,1.6,0.5,0.2,63680.00,46393.61,41.61,197.76,322,-12280.00,8.07,0.0056,3.78,0.8835,2575.22,5,-8842.00,5.25,0.03,0.12,0.0098,1.93,232710.00,-169030.00,134,188,6,9,3990.00,-2760.00,1736.64,-899.10,157,70,1.38
34,1.9,0.3,0.2,61180.00,44572.26,31.37,190.00,322,-11170.00,10.29,0.0051,3.99,0.8453,2861.68,5,-7754.00,5.75,0.03,0.11,0.0103,3.21,192340.00,-131160.00,101,221,6,12,4190.00,-1560.00,1904.36,-593.48,165,41,1.47
94,1.8,0.2,0.3,52330.00,38124.65,26.30,160.03,327,-11110.00,10.17,0.0050,3.43,0.8858,2591.92,5,-7090.00,5.38,0.03,0.11,0.0106,4.17,159390.00,-107060.00,86,241,3,18,3840.00,-1560.00,1853.37,-444.23,146,27,1.49
87,1.8,0.4,0.3,52980.00,38598.20,35.78,162.02,327,-10200.00,6.48,0.0051,3.78,0.9202,3243.26,5,-8052.00,4.79,0.04,0.10,0.0087,2.41,208780.00,-155800.00,117,210,5,11,3990.00,-2760.00,1784.44,-741.90,154,55,1.34
74,1.5,0.5,0.3,54230.00,39508.88,41.28,165.84,327,-10380.00,6.22,0.0047,3.81,0.9189,3193.99,5,-8712.00,4.53,0.03,0.10,0.0086,1.88,222650.00,-168420.00,135,192,7,11,3440.00,-2760.00,1649.26,-877.19,143,65,1.32
